Datum;Uhrzeit;Biomasse[MWh];Wasserkraft[MWh];Wind Offshore[MWh];Wind Onshore[MWh];Photovoltaik[MWh];Sonstige Erneuerbare[MWh];Kernenergie[MWh];Braunkohle[MWh];Steinkohle[MWh];Erdgas[MWh];Pumpspeicher[MWh];Sonstige Konventionelle[MWh]
25.09.2022;00:00;1.174;343;765;695;0;29;1.008;3.363;2.112;740;39;256
25.09.2022;00:15;1.172;347;760;685;0;29;1.007;3.348;2.115;725;37;256
25.09.2022;00:30;1.172;335;751;645;0;29;1.008;3.321;2.116;724;77;256
25.09.2022;00:45;1.170;327;754;617;0;29;1.007;3.283;2.117;712;12;255
25.09.2022;01:00;1.168;336;770;600;0;29;1.007;3.268;2.108;684;43;256
25.09.2022;01:15;1.168;327;769;591;0;29;1.008;3.252;2.086;693;48;255
25.09.2022;01:30;1.170;322;780;597;0;29;1.007;3.249;2.066;716;43;256
25.09.2022;01:45;1.171;322;789;621;0;29;1.007;3.250;2.045;698;34;256
25.09.2022;02:00;1.171;331;753;631;0;29;1.008;3.263;2.024;674;31;255
25.09.2022;02:15;1.170;324;707;637;0;29;1.008;3.260;2.012;674;39;254
25.09.2022;02:30;1.168;329;682;641;0;29;1.008;3.258;1.991;673;40;256
25.09.2022;02:45;1.166;320;690;651;0;29;1.008;3.245;1.981;669;55;257
25.09.2022;03:00;1.166;332;663;659;0;29;1.009;3.104;1.968;668;18;257
25.09.2022;03:15;1.166;324;636;674;0;29;1.009;3.084;1.971;666;31;256
25.09.2022;03:30;1.165;333;602;691;0;29;1.009;3.082;1.964;671;14;253
25.09.2022;03:45;1.164;322;605;710;0;29;1.009;3.054;1.953;669;1;256
25.09.2022;04:00;1.164;326;595;741;0;29;1.009;3.035;1.950;670;36;253
25.09.2022;04:15;1.164;322;607;757;0;29;1.010;3.036;1.953;723;57;253
25.09.2022;04:30;1.162;322;636;765;0;29;1.011;3.047;1.951;725;20;255
25.09.2022;04:45;1.160;321;608;769;0;29;1.011;3.054;1.967;690;39;255
25.09.2022;05:00;1.159;331;594;774;0;29;1.012;3.067;1.983;674;3;254
25.09.2022;05:15;1.157;330;555;756;0;29;1.012;3.068;1.984;684;19;255
25.09.2022;05:30;1.156;350;510;753;0;29;1.012;3.078;1.985;680;29;253
25.09.2022;05:45;1.154;337;515;759;0;29;1.012;3.065;1.999;704;4;252
25.09.2022;06:00;1.155;326;538;768;0;29;1.010;3.059;1.985;739;15;255
25.09.2022;06:15;1.156;316;514;774;0;29;1.012;3.063;1.985;737;22;254
25.09.2022;06:30;1.155;324;482;769;0;29;1.012;3.065;1.986;736;29;254
25.09.2022;06:45;1.154;340;468;773;1;29;1.012;3.064;1.986;742;68;253
25.09.2022;07:00;1.156;344;472;769;8;29;1.011;3.057;1.999;758;94;255
25.09.2022;07:15;1.159;332;466;787;34;29;1.011;3.057;2.013;765;68;254
25.09.2022;07:30;1.161;325;477;802;99;29;1.012;3.061;2.029;760;109;254
25.09.2022;07:45;1.161;348;476;788;196;29;1.011;3.057;2.044;760;76;255
25.09.2022;08:00;1.163;352;453;783;335;29;1.011;3.046;2.059;781;126;254
25.09.2022;08:15;1.166;351;408;767;498;29;1.012;3.047;2.065;781;228;255
25.09.2022;08:30;1.167;345;392;743;683;29;1.011;3.041;2.071;778;292;255
25.09.2022;08:45;1.166;327;385;710;895;29;1.012;3.049;2.079;783;280;254
25.09.2022;09:00;1.166;340;374;673;1.134;29;1.013;3.044;2.087;779;379;256
25.09.2022;09:15;1.166;321;379;606;1.385;29;1.013;3.037;2.094;775;287;255
25.09.2022;09:30;1.169;313;368;550;1.651;29;1.012;3.034;2.096;779;165;256
25.09.2022;09:45;1.171;316;356;511;1.907;29;1.012;3.031;2.098;781;117;255
25.09.2022;10:00;1.173;315;347;471;2.166;29;1.012;3.043;2.095;785;149;256
25.09.2022;10:15;1.172;312;350;459;2.414;29;1.012;3.037;2.097;780;123;256
25.09.2022;10:30;1.173;314;346;479;2.683;29;1.011;3.041;2.104;778;42;255
25.09.2022;10:45;1.173;344;352;492;2.927;29;1.010;3.044;2.105;774;7;255
25.09.2022;11:00;1.176;395;367;508;3.213;29;1.011;3.048;2.116;773;17;256
25.09.2022;11:15;1.176;387;371;512;3.394;29;1.011;3.042;2.117;764;78;255
25.09.2022;11:30;1.177;320;364;540;3.517;29;1.011;3.045;2.116;719;47;254
25.09.2022;11:45;1.178;312;356;546;3.599;29;1.011;3.040;2.114;732;10;252
25.09.2022;12:00;1.178;367;338;547;3.784;29;1.011;3.033;2.124;757;210;249
25.09.2022;12:15;1.176;314;318;573;3.927;29;1.010;3.023;2.131;762;163;255
