Datum;Uhrzeit;Biomasse[MWh];Wasserkraft[MWh];Wind Offshore[MWh];Wind Onshore[MWh];Photovoltaik[MWh];Sonstige Erneuerbare[MWh];Kernenergie[MWh];Braunkohle[MWh];Steinkohle[MWh];Erdgas[MWh];Pumpspeicher[MWh];Sonstige Konventionelle[MWh]
22.09.2022;00:00;1.173;423;5;372;0;29;1.018;3.348;2.871;1.725;126;254
22.09.2022;00:15;1.177;408;5;367;0;29;1.018;3.340;2.862;1.617;148;255
22.09.2022;00:30;1.175;365;5;356;0;29;1.018;3.335;2.851;1.503;135;257
22.09.2022;00:45;1.174;360;6;342;0;29;1.018;3.337;2.840;1.362;143;258
22.09.2022;01:00;1.173;391;7;329;0;29;1.019;3.354;2.849;1.231;88;258
22.09.2022;01:15;1.171;370;7;325;0;29;1.019;3.339;2.859;1.226;69;257
22.09.2022;01:30;1.173;376;7;314;0;29;1.020;3.341;2.866;1.192;78;253
22.09.2022;01:45;1.174;360;7;311;0;29;1.020;3.330;2.866;1.170;41;253
22.09.2022;02:00;1.176;393;7;299;0;29;1.020;3.330;2.863;1.172;49;254
22.09.2022;02:15;1.175;360;7;285;0;29;1.021;3.308;2.864;1.174;22;256
22.09.2022;02:30;1.174;362;10;281;0;29;1.020;3.312;2.868;1.188;27;253
22.09.2022;02:45;1.174;359;12;267;0;29;1.020;3.315;2.873;1.184;31;253
22.09.2022;03:00;1.169;391;15;254;0;29;1.021;3.346;2.858;1.135;44;253
22.09.2022;03:15;1.169;376;17;250;0;29;1.021;3.340;2.869;1.138;26;255
22.09.2022;03:30;1.169;376;20;243;0;29;1.021;3.348;2.869;1.134;3;257
22.09.2022;03:45;1.169;381;24;239;0;29;1.021;3.346;2.870;1.145;3;255
22.09.2022;04:00;1.169;394;28;235;0;29;1.021;3.350;2.875;1.162;8;252
22.09.2022;04:15;1.170;362;36;235;0;29;1.021;3.353;2.880;1.166;24;253
